id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp,Group,Gls_p90,Ast_p90,npxG_p90,Sh_p90,xA_p90,KP_p90,xGChain_p90,xGBuildup_p90,npxG_per_Sh,Cluster
5596,Harry Wilson,36,2751,10,5.759745923802257,7,5.503671173006296,78,37,7,0,M S,Fulham,10,5.759745923802257,11.091712068766356,4.132661418989301,EPL,midfield,0.3271537622682661,0.2290076335877862,0.1884322548681218,2.5517993456924755,0.1800546730536411,1.2104689203925845,0.3628695333293246,0.135201573140326,0.0738428964590032,3
11356,Enzo Fernández,36,3149,10,11.91719657368958,4,8.865934781730175,72,68,10,0,M S,Chelsea,8,10.394858876243234,27.90237918496132,16.159590516239405,EPL,midfield,0.2858050174658622,0.1143220069863448,0.297090282267987,2.057796125754208,0.2533928645143588,1.9434741187678628,0.797463997029698,0.4618492049734984,0.1443730399478227,2
1228,Bruno Fernandes,35,3082,9,11.931805820204318,21,17.75713463127613,85,137,5,0,M,Manchester United,5,7.364792761392891,25.94416971784085,11.6638073772192,EPL,midfield,0.2628163530175211,0.6132381570408825,0.2150653304754576,2.482154445165477,0.5185405959814574,4.00064892926671,0.7576168963678379,0.340604368575512,0.0866446207222693,2
2248,Casemiro,34,2649,9,6.577375870198011,2,3.177681438624859,52,36,9,1,M S,Manchester United,9,6.577375870198011,16.168739575892687,11.8755685351789,EPL,midfield,0.3057757644394111,0.0679501698754246,0.223466903857237,1.766704416761042,0.1079619967822715,1.2231030577576445,0.5493343004267051,0.4034734496663272,0.1264879975038079,0
8327,Bruno Guimarães,29,2467,9,6.597308051772416,5,3.869310455396771,42,44,6,0,M S,Newcastle United,7,5.074970376677811,14.09811718389392,9.365775737911465,EPL,midfield,0.3283340089177138,0.1824077827320632,0.1851428187681406,1.5322253749493313,0.1411584681741829,1.6051884880421563,0.5143212592421779,0.3416780771836367,0.1208326280161383,3
9739,Kiernan Dewsbury-Hall,31,2649,8,4.330071024596691,4,6.574528481811285,39,36,6,0,M S,Everton,8,4.330071024596691,14.27813035994768,8.12063055485487,EPL,midfield,0.2718006795016987,0.1359003397508493,0.1471145308469996,1.3250283125707814,0.2233701635949474,1.2231030577576445,0.4851006917309517,0.2758991128489763,0.1110274621691459,3
10741,Marcus Tavernier,34,2779,7,9.397737859748304,4,6.158757623285055,70,52,6,0,M S,Bournemouth,5,7.875400157645345,17.828483875840902,8.152811899781227,EPL,midfield,0.2267002518891687,0.129543001079525,0.2550507427808856,2.267002518891688,0.1994559863604371,1.6840590140338252,0.577388826493588,0.264034930183631,0.1125057165377906,3
2203,Emiliano Buendía,36,1778,6,3.7844833629205823,2,3.626239098608494,49,30,6,0,M S,Aston Villa,6,3.7844833629205823,9.206152960658072,3.6858682241290808,EPL,midfield,0.3037120359955005,0.1012373453318335,0.1915655245572848,2.4803149606299213,0.1835554099408124,1.5185601799775028,0.4660032432279113,0.1865737571268938,0.077234354345318,3
9307,Iliman Ndiaye,32,2805,6,6.143797228112817,3,4.457025814801455,43,30,2,0,M,Everton,4,4.621459530666471,15.463790696114302,6.865662005729973,EPL,midfield,0.1925133689839572,0.0962566844919786,0.1482821239786033,1.3796791443850267,0.1430061758759825,0.962566844919786,0.4961644073619562,0.220288620504705,0.1074758030387551,3
7526,Martín Zubimendi,38,3040,5,2.944296659901738,1,1.087823610752821,27,19,4,0,D M S,Arsenal,5,2.944296659901738,13.476701468229294,11.17571103386581,EPL,midfield,0.1480263157894736,0.0296052631578947,0.0871666774313014,0.7993421052631579,0.0322053042657085,0.5625,0.3989812934673146,0.3308598661341851,0.1090480244408051,1
7723,John McGinn,30,2221,5,2.999398436397314,4,4.862495846115053,28,39,5,0,M S,Aston Villa,5,2.999398436397314,10.930921144783497,5.892162735573947,EPL,midfield,0.2026114362899594,0.1620891490319675,0.1215424850408637,1.134624043223773,0.1970394534670665,1.5803692030616838,0.4429459266233745,0.2387639109417628,0.1071213727284755,3
8288,Tomas Soucek,35,2206,5,5.214208725839853,0,0.8217995762825012,25,11,3,1,M S,West Ham,5,5.214208725839853,7.2598637118935585,4.53873631823808,EPL,midfield,0.2039891205802357,0.0,0.2127283705011726,1.0199456029011786,0.0335276345718155,0.4487760652765186,0.2961866428243065,0.1851705660205926,0.2085683490335941,1
9910,Anton Stach,29,2394,5,2.9207701720297337,3,5.958144916221499,55,61,3,0,M S,Leeds,5,2.9207701720297337,10.147935139015315,6.20686737075448,EPL,midfield,0.18796992481203,0.112781954887218,0.1098033899259298,2.0676691729323307,0.2239904103842669,2.293233082706766,0.3815013210156133,0.2333408785997925,0.0531049122187224,3
10697,Ryan Gravenberch,36,3008,5,1.5315213510766623,3,2.368868850171566,38,29,5,0,M S,Liverpool,5,1.5315213510766623,13.042155539616942,10.718840256333351,EPL,midfield,0.1496010638297872,0.0897606382978723,0.0458234446798203,1.1369680851063828,0.0708770600117822,0.867686170212766,0.3902240686720495,0.3207099810738037,0.0403031934493858,1
10715,João Palhinha,33,2180,5,3.407368754968047,2,0.7690385403111577,33,8,8,0,D M S,Tottenham,5,3.407368754968047,4.779836506582797,3.304838733747601,EPL,midfield,0.2064220183486238,0.0825688073394495,0.1406711871317083,1.3623853211009176,0.0317492975357817,0.3302752293577982,0.1973326998130512,0.136438296347378,0.1032535986353953,1
11592,Nico O&#039;Reilly,34,2646,5,6.727011270821095,3,3.847439743578434,41,23,5,0,D M S,Manchester City,5,6.727011270821095,21.241205548867583,14.797816466540098,EPL,midfield,0.1700680272108843,0.1020408163265306,0.2288099071707855,1.3945578231292517,0.130865297400627,0.782312925170068,0.72248998465536,0.5033270906986428,0.1640734456297828,0
