Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,Launch%,AvgLen,Stp,Stp%,#OPA,#OPA/90,AvgDist,Cluster
Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32.0,1992.0,38,38,3420,38.0,46.0,1.21,165.0,119.0,73.9,19.0,8.0,11.0,13.0,34.2,3.0,0.0,0.0,49.1,0.29,3.1,68.4,44.7,19.0,2.7,12.0,0.32,8.7,0
Rui Silva,pt POR,GK,Betis,es La Liga,30.0,1994.0,15,15,1350,15.0,18.0,1.2,54.0,37.0,72.2,5.0,5.0,5.0,4.0,26.7,3.0,0.0,0.0,18.4,0.3,1.4,26.0,30.8,10.0,5.2,31.0,2.07,18.9,2
Unai Simón,es ESP,GK,Athletic Club,es La Liga,27.0,1997.0,21,21,1890,21.0,14.0,0.67,62.0,47.0,79.0,10.0,8.0,3.0,10.0,47.6,1.0,1.0,0.0,16.3,0.24,2.3,36.2,34.4,19.0,7.6,28.0,1.33,15.5,2
Antonio Sivera,es ESP,GK,Alavés,es La Liga,27.0,1996.0,32,32,2810,31.2,39.0,1.25,112.0,75.0,73.2,9.0,10.0,13.0,8.0,25.0,9.0,0.0,0.0,39.0,0.28,2.0,71.8,47.7,30.0,6.6,29.0,0.93,12.7,0
Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33.0,1991.0,27,27,2364,26.3,33.0,1.26,82.0,50.0,61.0,11.0,12.0,4.0,8.0,29.6,1.0,1.0,0.0,28.7,0.34,-2.3,27.9,31.6,18.0,8.4,23.0,0.88,13.0,1
Yann Sommer,ch SUI,GK,Inter,it Serie A,35.0,1988.0,32,32,2880,32.0,29.0,0.91,110.0,81.0,76.4,20.0,8.0,4.0,13.0,40.6,3.0,1.0,0.0,31.7,0.24,0.7,16.9,26.6,14.0,3.9,14.0,0.42,13.2,2
David Soria,es ESP,GK,Getafe,es La Liga,31.0,1993.0,38,38,3420,38.0,39.0,1.03,126.0,86.0,75.4,11.0,9.0,18.0,9.0,23.7,8.0,1.0,0.0,42.0,0.29,3.0,72.6,48.8,25.0,5.2,39.0,1.03,14.7,0
Filip Stankovic,rs SRB,GK,Venezia,it Serie A,22.0,2002.0,16,16,1367,15.2,23.0,1.51,83.0,60.0,77.1,2.0,6.0,8.0,0.0,0.0,4.0,1.0,0.0,25.2,0.26,3.2,29.4,31.6,12.0,4.8,13.0,0.86,10.8,1
Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,23.0,2000.0,10,10,900,10.0,16.0,1.6,44.0,28.0,63.6,3.0,1.0,6.0,2.0,20.0,0.0,0.0,0.0,15.4,0.35,-0.6,46.3,34.2,10.0,5.9,8.0,0.8,12.5,1
Zion Suzuki,jp JPN,GK,Parma,it Serie A,21.0,2002.0,37,37,3314,36.8,53.0,1.47,150.0,99.0,68.0,7.0,15.0,15.0,7.0,19.4,5.0,0.0,0.0,51.4,0.32,0.4,41.4,37.5,64.0,10.4,38.0,1.03,12.1,1
Mile Svilar,rs SRB,GK,Roma,it Serie A,24.0,1999.0,38,38,3420,38.0,35.0,0.92,151.0,117.0,79.5,20.0,9.0,9.0,16.0,42.1,4.0,0.0,0.0,42.5,0.26,8.5,23.8,30.6,30.0,6.1,33.0,0.87,13.7,2
Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,34.0,1990.0,15,15,1350,15.0,12.0,0.8,33.0,21.0,66.7,14.0,1.0,0.0,8.0,53.3,1.0,0.0,0.0,12.0,0.35,0.0,12.3,25.1,7.0,5.4,56.0,3.73,20.2,2
Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,34.0,1990.0,26,26,2295,25.5,34.0,1.33,117.0,82.0,70.9,12.0,8.0,6.0,6.0,23.1,0.0,2.0,0.0,34.9,0.3,1.9,31.7,29.9,24.0,6.1,28.0,1.1,13.6,2
Stefano Turati,it ITA,GK,Monza,it Serie A,22.0,2001.0,30,30,2676,29.7,52.0,1.75,145.0,93.0,65.5,2.0,7.0,21.0,2.0,6.7,2.0,2.0,0.0,47.4,0.31,-2.6,38.3,33.7,22.0,5.3,26.0,0.87,13.3,1
Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,28.0,1995.0,33,33,2969,33.0,39.0,1.18,135.0,93.0,71.9,8.0,7.0,18.0,9.0,27.3,1.0,4.0,0.0,47.4,0.32,9.4,34.2,32.7,24.0,5.8,27.0,0.82,12.8,0
Devis Vásquez,co COL,GK,Empoli,it Serie A,26.0,1998.0,32,32,2880,32.0,45.0,1.41,125.0,79.0,64.8,6.0,12.0,14.0,6.0,18.8,1.0,1.0,1.0,40.2,0.31,-4.8,48.5,39.0,36.0,7.3,15.0,0.47,10.9,1
Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,21.0,2002.0,36,36,3240,36.0,58.0,1.61,143.0,87.0,65.7,14.0,13.0,9.0,7.0,19.4,9.0,0.0,0.0,51.0,0.31,-5.0,26.9,29.7,27.0,6.5,47.0,1.31,13.9,1
Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,27.0,1996.0,24,24,2160,24.0,37.0,1.54,102.0,67.0,64.7,9.0,3.0,12.0,4.0,16.7,1.0,0.0,0.0,37.4,0.36,2.4,10.5,22.8,30.0,9.6,31.0,1.29,13.3,2
Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,25.0,1999.0,25,25,2250,25.0,61.0,2.44,140.0,81.0,59.3,4.0,5.0,16.0,2.0,8.0,4.0,0.0,0.0,47.2,0.32,-11.8,40.2,34.5,27.0,5.5,18.0,0.72,11.1,1
Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,29.0,1994.0,32,32,2880,32.0,41.0,1.28,142.0,100.0,73.9,13.0,9.0,10.0,9.0,28.1,4.0,1.0,0.0,45.0,0.29,4.0,46.2,38.7,45.0,8.6,58.0,1.81,14.0,0
Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29.0,1995.0,34,34,3060,34.0,57.0,1.68,156.0,102.0,65.4,14.0,9.0,11.0,10.0,29.4,3.0,0.0,0.0,52.9,0.33,-1.1,27.7,31.9,35.0,7.5,34.0,1.0,13.5,1
