Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,Launch%,AvgLen,Stp,Stp%,#OPA,#OPA/90,AvgDist,Cluster
Bernd Leno,de GER,GK,Fulham,eng Premier League,32.0,1992.0,38,38,3420,38.0,54.0,1.42,159.0,106.0,67.9,15.0,9.0,14.0,5.0,13.2,3.0,1.0,0.0,48.9,0.29,-3.1,22.7,28.9,23.0,4.5,33.0,0.87,13.3,1
Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,31.0,1992.0,32,32,2880,32.0,48.0,1.5,164.0,118.0,73.8,11.0,8.0,13.0,9.0,28.1,5.0,1.0,0.0,55.8,0.32,10.8,53.0,42.0,28.0,5.4,39.0,1.22,14.6,0
Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,33.0,1990.0,18,18,1563,17.4,26.0,1.5,71.0,46.0,69.0,5.0,6.0,7.0,3.0,16.7,4.0,0.0,1.0,25.6,0.32,0.6,40.4,35.8,16.0,5.2,8.0,0.46,11.0,1
Mike Maignan,fr FRA,GK,Milan,it Serie A,29.0,1995.0,37,37,3294,36.6,41.0,1.12,136.0,97.0,70.6,17.0,9.0,11.0,12.0,32.4,1.0,1.0,0.0,36.8,0.26,-1.2,17.4,27.8,26.0,5.8,68.0,1.86,18.7,2
Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,24.0,1999.0,15,15,1350,15.0,22.0,1.47,65.0,43.0,69.2,7.0,2.0,6.0,3.0,20.0,2.0,0.0,0.0,21.1,0.31,-0.9,26.6,30.5,14.0,9.1,18.0,1.2,14.0,1
Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,23.0,2000.0,34,34,3060,34.0,48.0,1.41,136.0,89.0,68.4,11.0,11.0,12.0,8.0,23.5,5.0,2.0,0.0,46.1,0.3,1.1,36.0,34.5,33.0,7.0,38.0,1.12,14.3,1
Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,39.0,1985.0,18,17,1486,16.5,23.0,1.39,51.0,29.0,58.8,6.0,2.0,9.0,6.0,35.3,2.0,1.0,0.0,17.0,0.29,-4.0,33.6,32.7,7.0,4.0,21.0,1.27,15.7,1
Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31.0,1992.0,37,37,3194,35.5,45.0,1.27,142.0,96.0,69.0,18.0,9.0,10.0,8.0,21.6,1.0,1.0,0.0,45.8,0.32,0.8,26.3,30.4,56.0,11.2,35.0,0.99,13.7,2
Alex Meret,it ITA,GK,Napoli,it Serie A,27.0,1997.0,34,34,3005,33.4,25.0,0.75,84.0,59.0,71.4,21.0,9.0,4.0,16.0,47.1,1.0,2.0,1.0,25.3,0.27,2.3,15.4,27.7,21.0,5.6,47.0,1.41,16.5,2
Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,27.0,1997.0,37,37,3330,37.0,42.0,1.14,173.0,129.0,77.5,10.0,14.0,13.0,10.0,27.0,3.0,4.0,0.0,51.4,0.27,11.4,40.0,37.6,37.0,6.3,46.0,1.24,13.7,0
Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,28.0,1996.0,36,36,3240,36.0,64.0,1.78,161.0,97.0,61.5,9.0,7.0,20.0,8.0,22.2,2.0,1.0,1.0,50.8,0.31,-12.2,59.9,43.6,30.0,6.0,23.0,0.64,11.6,1
Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,33.0,1991.0,33,33,2939,32.7,64.0,1.96,169.0,105.0,65.7,7.0,5.0,21.0,7.0,21.2,6.0,0.0,0.0,59.3,0.33,-4.7,31.4,33.8,21.0,4.6,20.0,0.61,12.0,1
Arijanet Muric,xk KVX,GK,Ipswich Town,eng Premier League,25.0,1998.0,18,18,1620,18.0,33.0,1.83,100.0,67.0,70.0,2.0,6.0,10.0,1.0,5.6,3.0,0.0,0.0,31.4,0.29,-1.6,29.6,30.3,39.0,15.7,20.0,1.11,12.2,1
Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,38.0,1986.0,22,22,1980,22.0,15.0,0.68,45.0,30.0,68.9,18.0,4.0,0.0,13.0,59.1,1.0,0.0,1.0,15.0,0.33,0.0,20.0,27.7,6.0,3.7,40.0,1.82,19.6,2
Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,26.0,1997.0,19,19,1639,18.2,25.0,1.37,92.0,69.0,78.3,9.0,4.0,6.0,4.0,21.1,5.0,0.0,0.0,29.9,0.29,6.9,23.3,28.2,18.0,5.6,14.0,0.77,12.0,2
