id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp,Group,Gls_p90,Ast_p90,npxG_p90,Sh_p90,xA_p90,KP_p90,xGChain_p90,xGBuildup_p90,npxG_per_Sh
11707,Jurriën Timber,30,2475,3,4.030840836465359,5,2.5891424333676696,25,28,5,0,D S,Arsenal,3,4.030840836465359,11.438589019700885,8.65939543582499,EPL,,0.10909090909090909,0.18181818181818182,0.14657603041692213,0.9090909090909092,0.09415063394064252,1.018181818181818,0.4159486916254867,0.3148871067572724,0.16123363345861436
12149,Alex Scott,37,2915,3,3.500135133042932,1,2.891912166960537,44,26,5,0,M S,Bournemouth,3,3.500135133042932,15.246188033372164,10.991569228470324,EPL,midfield,0.09262435677530018,0.03087478559176672,0.10806592177491042,1.3584905660377358,0.08928716810512809,0.8027444253859348,0.47072278662212513,0.33936234324608205,0.07954852575097572
12756,Rodrigo Gomes,22,951,3,2.28443655744195,0,0.1513135097920894,21,3,0,0,D F M S,Wolverhampton Wanderers,3,2.28443655744195,3.37700173817575,1.008143601939082,EPL,attack,0.28391167192429023,0.0,0.21619273414277126,1.9873817034700316,0.01431989051660152,0.28391167192429023,0.31959006985890376,0.09540791185543361,0.10878269321152143
12759,Yankuba Minteh,34,2410,3,4.752463513985276,4,5.841520894318819,41,44,3,0,M S,Brighton,3,4.752463513985276,16.411175997927785,8.573732296004891,EPL,midfield,0.11203319502074688,0.14937759336099585,0.1774778905637655,1.5311203319502074,0.21814808319032933,1.6431535269709545,0.6128654936985479,0.320180874124664,0.11591374424354332
12948,Mateus Fernandes,36,3044,3,1.821642781607807,4,3.336049569770694,28,37,6,0,M S,West Ham,3,1.821642781607807,10.3192302826792,6.989333409816027,EPL,midfield,0.08869908015768725,0.11826544021024968,0.05385934636816774,0.8278580814717477,0.09863484273303628,1.0939553219448095,0.30510207800299866,0.20664914812202442,0.06505867077170739
13484,Mateus Mané,27,1784,3,1.9724454693496227,1,3.281726311892271,41,30,0,0,M S,Wolverhampton Wanderers,3,1.9724454693496227,5.257462016772479,2.4831578764133155,EPL,midfield,0.15134529147982065,0.05044843049327354,0.09950677816225675,2.0683856502242155,0.16555794174344418,1.5134529147982063,0.2652307071241721,0.1252714175320619,0.048108426081698116
87,Joelinton,27,1958,2,2.178690475411713,1,1.8613738622516396,32,17,9,0,M S,Newcastle United,2,2.178690475411713,10.018592189997436,7.250156426802278,EPL,midfield,0.09193054136874362,0.04596527068437181,0.1001440974397621,1.470888661899898,0.08555855342321123,0.7814096016343207,0.4605073018895655,0.3332554026620046,0.06808407735661604
668,Idrissa Gueye,25,2120,2,1.9142106398940089,3,1.693690698593855,29,13,1,1,M,Everton,2,1.9142106398940089,9.138687188737094,6.896284964866936,EPL,midfield,0.08490566037735849,0.12735849056603774,0.0812636592407834,1.2311320754716981,0.07190196361955045,0.5518867924528302,0.38796313537091437,0.2927668145462379,0.06600726344462099
675,Jack Grealish,20,1645,2,3.084938551299274,6,4.558330744504929,26,38,2,1,F M S,Everton,2,3.084938551299274,9.290637398138642,3.2924681939184666,EPL,attack,0.1094224924012158,0.3282674772036474,0.16878083259388124,1.4224924012158056,0.24939195562640948,2.0790273556231003,0.5083023500501385,0.18013503796514405,0.11865148274227977
1018,Josh Cullen,18,1533,2,1.0142266415059566,2,1.8168634045869112,11,13,2,0,M,Burnley,2,1.0142266415059566,6.162752605974674,4.625554047524929,EPL,midfield,0.11741682974559686,0.11741682974559686,0.059543638444576705,0.6457925636007827,0.10666517052369343,0.7632093933463796,0.36180543674998084,0.27155894603864555,0.09220242195508697
1665,James Tarkowski,37,3330,2,2.8690776508301497,3,2.0567114762961864,20,18,8,0,D,Everton,2,2.8690776508301497,6.824133190326393,5.569046746008098,EPL,,0.05405405405405405,0.08108108108108109,0.07754263921162567,0.5405405405405406,0.055586796656653684,0.4864864864864865,0.1844360321709836,0.15051477691913778,0.14345388254150748
3635,Bernardo Silva,38,2917,2,2.899573851376772,4,5.28287316672504,30,47,9,0,M S,Manchester City,2,2.899573851376772,25.18876053020358,19.402738712728024,EPL,midfield,0.061707233459033256,0.12341446691806651,0.08946234028930733,0.9256085018854988,0.16299574391678218,1.4501199862872813,0.7771643632904773,0.5986446637454653,0.09665246171255906
4419,Adam Armstrong,14,1170,2,2.8085783179849386,2,1.501315450295806,18,6,3,0,F M,Wolverhampton Wanderers,1,2.0474094804376364,2.8539646565914154,0.716374509036541,EPL,attack,0.15384615384615385,0.15384615384615385,0.15749303695674127,1.3846153846153846,0.11548580386890815,0.46153846153846156,0.21953574281472424,0.05510573146434931,0.11374497113542424
5722,Ibrahim Sangare,28,2111,2,1.5703946938738227,2,1.4491914678364992,16,12,5,0,M S,Nottingham Forest,2,1.5703946938738227,7.422331970185041,5.2894406747072935,EPL,midfield,0.08526764566556135,0.08526764566556135,0.0669519291561554,0.6821411653244908,0.061784572290518674,0.5116058739933681,0.316442386222953,0.2255090766099746,0.09814966836711392
6377,Joe Rodon,35,2954,2,1.8460459671914575,0,0.4614792335778475,18,9,3,0,D S,Leeds,2,1.8460459671914575,6.242629060521722,5.799875162541866,EPL,,0.060934326337169935,0.0,0.05624378369913039,0.5484089370345294,0.014059963108329816,0.2742044685172647,0.1901951981878656,0.17670574293458632,0.1025581092884143
6963,Justin Kluivert,20,934,2,2.293420127592981,0,2.294822184368968,17,22,5,0,M S,Bournemouth,2,2.293420127592981,5.311763904988766,2.3175806514918804,EPL,midfield,0.19271948608137046,0.0,0.22099337417919515,1.6381156316916488,0.22112847600985772,2.119914346895075,0.5118402049775043,0.22332147605382147,0.13490706632899888
7078,Sean Longstaff,23,999,2,1.3776587545871737,2,2.7682253569364548,16,25,2,0,M S,Leeds,2,1.3776587545871737,3.445849686861038,1.8182370737195013,EPL,midfield,0.18018018018018017,0.18018018018018017,0.1241134013141598,1.4414414414414414,0.24938967179607702,2.2522522522522523,0.31043690872621965,0.16380514177653163,0.08610367216169836
7352,Tyler Adams,25,1805,2,0.9289743825793266,2,1.2302900850772858,10,7,8,0,M S,Bournemouth,2,0.9289743825793266,6.869911018759012,5.867583338171244,EPL,midfield,0.0997229916897507,0.0997229916897507,0.04632005231697473,0.4986149584487535,0.06134410396507242,0.3490304709141274,0.3425440397165158,0.29256648223568527,0.09289743825793266
7438,James Garner,38,3417,2,2.075645294971764,7,6.066574491560459,45,56,12,0,D M,Everton,2,2.075645294971764,11.283361876383424,8.333431598730385,EPL,midfield,0.05267778753292362,0.18437225636523266,0.05467020092111758,1.1852502194907815,0.159786861059538,1.4749780509218613,0.29719126979060817,0.21949336958903562,0.046125450999372535
7753,James Justin,29,1895,2,2.5627669915556908,1,2.572751060128212,24,13,4,0,D M S,Leeds,2,2.5627669915556908,5.141626592725515,2.756110928952694,EPL,midfield,0.09498680738786279,0.047493403693931395,0.1217145273034365,1.1398416886543534,0.12218870470265913,0.6174142480211081,0.2441933474117659,0.13089708897400656,0.10678195798148711
