id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp,Group,Gls_p90,Ast_p90,npxG_p90,Sh_p90,xA_p90,KP_p90,xGChain_p90,xGBuildup_p90,npxG_per_Sh,Cluster
8260,Erling Haaland,35,2979,27,28.795336209237576,8,5.507687093690038,125,25,2,0,F S,Manchester City,24,25.7506607696414,32.735352732241154,5.163548586890101,EPL,attack,0.8157099697885197,0.2416918429003021,0.7779655821643927,3.776435045317221,0.1663953804740192,0.7552870090634441,0.9889834662308504,0.1559984467338399,0.2060052861571312,3
13222,Thiago,38,3292,22,24.68977300822735,1,3.4500465877354145,84,24,7,0,F S,Brentford,14,17.83925338834524,22.6934577524662,4.9276386722922325,EPL,attack,0.6014580801944107,0.0273390036452004,0.4877074134116256,2.296476306196841,0.09432083623821,0.6561360874848117,0.6204165242168767,0.1347167316240282,0.2123720641469671,3
11363,Antoine Semenyo,37,3220,17,12.836786897853017,4,4.130169393494725,83,38,7,0,F M,"Bournemouth,Manchester City",16,11.31444920040667,20.870588455349207,7.893717190250754,EPL,attack,0.4751552795031056,0.1118012422360248,0.316242368955466,2.3198757763975157,0.1154395172094798,1.062111801242236,0.58333942887622,0.2206318469324745,0.1363186650651406,0
8865,Ollie Watkins,37,2908,16,18.82772558834404,3,2.816021606326103,83,23,4,0,F S,Aston Villa,16,18.82772558834404,21.74590409174561,4.3408186649903655,EPL,attack,0.4951856946354883,0.092847317744154,0.5827012733669064,2.568775790921596,0.0871533509523209,0.7118294360385145,0.6730162889467348,0.1343444566193717,0.2268400673294462,3
6857,Morgan Gibbs-White,37,3142,15,11.671697720885277,4,4.5044658575207,83,48,1,0,F M S,Nottingham Forest,14,10.910528883337976,17.26536614820361,5.41371457837522,EPL,attack,0.4296626352641629,0.1145767027371101,0.3125231061427173,2.377466581795035,0.1290267113866527,1.3749204328453215,0.4945521812025222,0.1550713914875142,0.1314521552209394,0
8272,João Pedro,35,2698,15,15.723741941154003,5,3.983569510281086,73,29,5,0,F M S,Chelsea,15,15.723741941154003,19.279914382845163,4.795918667688966,EPL,attack,0.5003706449221645,0.1667902149740548,0.5245132597123278,2.435137138621201,0.1328840829967745,0.9673832468495182,0.6431402129192234,0.159982461116385,0.2153937252212877,3
5555,Dominic Calvert-Lewin,35,2732,14,18.671318570151925,1,1.5441157519817352,73,20,3,0,F S,Leeds,10,14.865511130541565,18.026230743154883,2.768353534862399,EPL,attack,0.4612005856515373,0.0329428989751098,0.4897130313868011,2.404831625183016,0.05086764922341,0.6588579795021963,0.5938362982737699,0.0911975908263601,0.2036371387745419,3
7254,Viktor Gyokeres,36,2255,14,13.871430788189173,1,2.6537387324497104,55,20,5,0,F S,Arsenal,11,11.58792421594262,14.77520313858986,3.259540883824229,EPL,attack,0.5587583148558758,0.0399113082039911,0.4624892148269781,2.1951219512195124,0.1059141844436691,0.7982261640798226,0.589697686240837,0.1300925408178184,0.2106895311989567,3
501,Danny Welbeck,37,2286,13,12.718900069594383,1,2.2625304386019707,56,20,5,0,F S,Brighton,12,10.435393424704673,14.98485920764506,4.79668786842376,EPL,attack,0.5118110236220472,0.0393700787401574,0.4108422608151446,2.204724409448819,0.0890760015197626,0.7874015748031497,0.5899550869151599,0.1888459790718015,0.1863463111554406,3
11504,Eli Junior Kroupi,33,1708,13,8.849121669307351,0,1.81576990429312,52,22,5,0,F M S,Bournemouth,11,7.326783983036876,11.65668847411871,5.08306846767664,EPL,attack,0.6850117096018735,0.0,0.3860717555464396,2.740046838407494,0.0956787420294969,1.1592505854800936,0.6142283153809625,0.2678431862358885,0.1408996919814784,3
5735,Jean-Philippe Mateta,32,2225,12,15.977427493780851,0,1.2496193014085293,63,9,2,0,F S,Crystal Palace,8,12.93275199458003,15.170770466327667,2.393757389858365,EPL,attack,0.4853932584269663,0.0,0.523122552589754,2.548314606741573,0.0505463987086596,0.3640449438202247,0.6136491424581978,0.0968261416122484,0.2052817776917465,3
6026,Richarlison,32,1926,11,9.866276641376317,4,3.4081881837919354,61,19,5,0,F M S,Tottenham,11,9.866276641376317,11.187864126637578,2.256451802328229,EPL,attack,0.5140186915887851,0.1869158878504672,0.4610409645502952,2.850467289719626,0.1592611300837353,0.8878504672897196,0.5227973890952139,0.105441673005992,0.1617422400225625,3
6552,Bryan Mbeumo,33,2676,11,13.309208107180892,3,5.091009698808193,73,45,4,0,F M S,Manchester United,11,13.309208107180892,22.316140696406364,6.068183907307684,EPL,attack,0.3699551569506726,0.100896860986547,0.447619106743752,2.4551569506726456,0.171222299287271,1.5134529147982063,0.7505428485338463,0.2040869027121418,0.1823179192764505,3
8995,Hugo Ekitike,28,1835,11,11.932188130915163,4,2.49130567535758,65,21,0,0,F S,Liverpool,11,11.932188130915163,16.322998896241188,4.886437067762017,EPL,attack,0.5395095367847411,0.1961852861035422,0.5852299355762205,3.188010899182561,0.1221893791728513,1.0299727520435968,0.8005830521317203,0.2396617635414613,0.1835721250910025,3
11974,Benjamin Sesko,30,1636,11,12.504127995111048,1,0.5977376587688923,61,9,2,0,F S,Manchester United,11,12.504127995111048,14.22715387493372,1.6295164097100496,EPL,attack,0.6051344743276283,0.0550122249388753,0.6878799019315369,3.355745721271393,0.0328828785386309,0.4951100244498778,0.7826673892078452,0.0896433232725577,0.204985704837886,3
13729,Zian Flemming,29,1795,11,9.554794699884951,0,0.6848367601633072,52,10,5,0,F S,Burnley,9,8.032457021065056,7.825265257619321,1.7185871880501509,EPL,attack,0.5515320334261838,0.0,0.402741577657858,2.607242339832869,0.0343372191725335,0.5013927576601671,0.3923531326940049,0.0861687169495897,0.1544703273281741,0
7080,Matheus Cunha,33,2506,10,7.076101643964648,2,3.698060866445303,90,33,4,0,F M S,Manchester United,10,7.076101643964648,17.601462572813034,10.04429018124938,EPL,attack,0.3591380686352753,0.071827613727055,0.254129747788036,3.232242617717478,0.1328114437270859,1.1851556264964087,0.6321355273556157,0.3607286976506162,0.0786233515996072,2
8497,Cole Palmer,26,2007,10,10.257518742233517,1,2.123134629800916,64,24,5,0,F M S,Chelsea,5,5.69050582125783,16.862019807100296,10.53817812167108,EPL,attack,0.4484304932735426,0.0448430493273542,0.2551796332402614,2.8699551569506725,0.0952078309327765,1.0762331838565022,0.7561443859686232,0.4725640413305417,0.0889141534571535,2
12412,Morgan Rogers,37,3301,10,7.145822267979384,6,7.475014166906476,84,48,7,0,F M,Aston Villa,10,7.145822267979384,18.204907912760973,7.18029835447669,EPL,attack,0.2726446531354135,0.1635867918812481,0.1948270233620553,2.290215086337473,0.2038022644718518,1.308694335049985,0.496347080323686,0.1957669954265077,0.0850693127140403,1
1776,Jarrod Bowen,38,3416,9,8.273593910038471,11,8.43197707645595,79,44,4,0,F M,West Ham,8,7.512425065040588,14.380666948854923,3.877509349957109,EPL,attack,0.23711943793911,0.2898126463700234,0.1979268898869007,2.081381733021077,0.2221539627871883,1.1592505854800936,0.3788817404557795,0.1021592041850526,0.0950939881650707,1
4105,Raúl Jiménez,36,2215,9,12.016586696729064,3,1.944130852818489,73,25,5,0,F S,Fulham,5,8.971911305561662,10.551293056458237,1.5579581297934055,EPL,attack,0.3656884875846501,0.1218961625282167,0.3645471862304964,2.966139954853273,0.0789940301370943,1.015801354401806,0.4287207110976259,0.0633030391338178,0.122902894596735,0
5675,Ismaila Sarr,28,2181,9,11.5433072373271,1,2.200463268905878,48,19,2,0,F M S,Crystal Palace,6,9.259800650179386,12.695851609110832,3.182719247415662,EPL,attack,0.3713892709766161,0.0412654745529573,0.3821100680954354,1.9807427785419531,0.0908031610277528,0.7840440165061898,0.5239003415038858,0.1313364201134386,0.1929125135454038,0
9983,Beto,37,1552,9,10.947674445807934,1,1.0041863042861223,43,12,3,0,F S,Everton,9,10.947674445807934,12.09721666574478,0.9316300563514232,EPL,attack,0.5219072164948454,0.0579896907216494,0.6348522552337076,2.493556701030928,0.0582324532124684,0.6958762886597938,0.7015138530393236,0.0540249388348119,0.2545970801350682,3
8117,Nick Woltemade,33,1953,8,8.262036986649036,3,2.9012854490429163,32,22,0,0,F M S,Newcastle United,7,7.500868149101734,8.79227769561112,2.300962809473276,EPL,attack,0.3686635944700461,0.1382488479262673,0.3456621266867158,1.4746543778801844,0.1336997902784754,1.0138248847926268,0.4051740873553511,0.1060351525102892,0.2344021296594292,0
9156,Kevin Schade,35,2781,8,11.832689953967929,3,4.565257132053375,57,29,6,1,F M S,Brentford,8,11.071521116420628,17.37519696727395,3.947028372436762,EPL,attack,0.2588996763754045,0.0970873786407766,0.3583016542530948,1.8446601941747571,0.1477429492573908,0.9385113268608414,0.562304108973267,0.1277355460335521,0.1942372125687829,0
10746,Jaidon Anthony,37,2777,8,5.564454321749508,2,4.374400090426207,55,37,4,0,F M S,Burnley,8,5.564454321749508,12.432500068098308,5.833836998790503,EPL,attack,0.2592725963269716,0.0648181490817429,0.180338814892854,1.7824990997479293,0.1417702586022177,1.1991357580122437,0.4029258214363874,0.1890692581530951,0.1011718967590819,1
11966,Noah Okafor,28,1592,8,6.296696716919541,1,2.259315438568592,35,19,3,0,F M S,Leeds,8,6.296696716919541,10.915966423228385,3.821857213973999,EPL,attack,0.4522613065326633,0.0565326633165829,0.3559690355042454,1.9786432160804024,0.127725119014556,1.0741206030150754,0.6171086545794942,0.2160597671216456,0.1799056204834154,3
12916,Thierno Barry,38,1921,8,9.149327086284757,0,1.003938363865018,38,12,3,0,F S,Everton,8,9.149327086284757,10.248973826877773,2.152141290716827,EPL,attack,0.3748047891723061,0.0,0.4286514512054285,1.780322748568454,0.0470351133513022,0.5622071837584591,0.4801705593019258,0.1008291078420168,0.2407717654285462,0
468,Callum Wilson,32,1229,7,7.60266119800508,1,1.0267592892050743,38,8,1,0,F M S,West Ham,7,7.60266119800508,6.896431270986795,0.6376099903136492,EPL,attack,0.5126118795768918,0.0732302685109845,0.5567449209279554,2.7827502034174127,0.0751898584446352,0.5858421480878763,0.5050275137419135,0.0466923507959547,0.2000700315264494,3
1250,Mohamed Salah,27,2163,7,8.837686643004417,7,6.428150682710111,67,49,1,0,F M S,Liverpool,6,8.076517805457115,17.373253114521503,6.297699823975563,EPL,attack,0.2912621359223301,0.2912621359223301,0.3360548324045956,2.7877947295423025,0.2674681282681044,2.0388349514563107,0.7228815442935439,0.2620402145898292,0.1205450418724942,2
6055,Phil Foden,33,2083,7,6.688582047820091,5,6.107132508419454,55,53,4,0,F M S,Manchester City,7,6.688582047820091,19.91397963277996,11.249179357662795,EPL,attack,0.3024483917426788,0.2160345655304849,0.2889929833431628,2.3763802208353337,0.2638703436186994,2.28996639462314,0.8604215875901087,0.4860423150214362,0.121610582687638,2
6681,Harvey Barnes,37,1947,7,8.050524456426501,1,3.1062511932104826,58,23,1,0,F M S,Newcastle United,7,8.050524456426501,12.753550255671144,4.153433019295335,EPL,attack,0.3235747303543914,0.0462249614791987,0.3721351828856626,2.6810477657935285,0.1435863417508697,1.0631741140215716,0.5895323692914243,0.191992281323359,0.1388021458004569,0
7322,Bukayo Saka,31,2239,7,8.701195661909878,5,8.552797641605139,71,62,2,0,F M S,Arsenal,6,7.940026824362576,19.112561374902725,8.03783930838108,EPL,attack,0.2813756141134435,0.2009825815096025,0.3191614176831763,2.853952657436355,0.3437926698278081,2.492184010719071,0.7682583848777335,0.3230931387915575,0.1118313637234165,2
8706,Eberechi Eze,33,1928,7,4.807457456365228,2,2.63351690210402,63,17,1,0,F M S,"Arsenal,Crystal Palace",7,4.807457456365228,10.355983335524796,4.074069639667869,EPL,attack,0.3267634854771784,0.0933609958506224,0.2244145078178789,2.940871369294606,0.1229338802849386,0.7935684647302904,0.4834224586085226,0.1901795993620893,0.0763088485137337,0
9662,Dango Ouattara,32,2303,7,8.694322310388088,3,5.863189795985818,56,27,5,0,F M S,Brentford,7,8.694322310388088,13.248472003266215,2.525791243650019,EPL,attack,0.2735562310030395,0.1172383847155883,0.3397694346222006,2.188449848024316,0.2291303003207657,1.0551454624402952,0.5177431525375421,0.0987065618447684,0.1552557555426444,0
9789,Brian Brobbey,31,1943,7,7.111885398626328,1,1.5084331054240463,36,15,6,0,F S,Sunderland,7,7.111885398626328,9.288086591288447,1.6009146478027103,EPL,attack,0.3242408646423057,0.0463201235203293,0.3294234101267985,1.667524446731858,0.0698708077653958,0.6948018528049408,0.4302253181759959,0.0741545642317261,0.1975523721840646,0
11296,Cody Gakpo,36,2758,7,9.826099138706924,5,6.592332137748599,87,53,3,0,F M S,Liverpool,7,9.826099138706924,18.73160722479224,5.830895097926259,EPL,attack,0.2284263959390862,0.1631617113850616,0.3206486303421404,2.839013778100073,0.2151232387227606,1.7295141406816534,0.6112562183579774,0.190275764616883,0.1129436682609991,2
