Player,Squad,Comp,PrimaryPos,SecondaryPos,Group,Style,Gls,Ast,Min,MP,Gls_p90,npxG_p90,Sh_p90,SoT%,G/Sh,xAG_p90,SCA90,PrgC_p90,Succ%,Att Pen_p90,CrsPA_p90,PrgR_p90,PrgP_p90,Cmp%,KP_p90,Tkl_p90,Int_p90,Tkl+Int_p90,TotDist_p90,1/3_p90,Clr_p90,Blocks_p90,Att 3rd_p90,Tkl%,Won%,GA,Saves,CS,Save%,PSxG+/-,Stp%,#OPA/90,AvgDist,Launch%,AvgLen,CS%
Antony,Betis,es La Liga,FW,,attack,All-Around Forward,5.0,2.0,1362,17,0.3303964757709251,0.1916299559471365,2.841409691629956,39.5,0.12,0.2312775330396475,5.09,6.211453744493392,38.1,4.1629955947136565,0.4625550660792951,10.374449339207048,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Archer,Southampton,eng Premier League,FW,,attack,Target Forward,2.0,0.0,1441,35,0.124913254684247,0.3060374739764053,1.7487855655794586,35.7,0.07,0.0312283136710617,1.25,1.3740458015267174,40.5,3.247744621790424,0.0,4.122137404580153,,,,,,,,,,,,,,,,,,,,,,,,
Adam Armstrong,Southampton,eng Premier League,FW,MF,attack,Squad Forward,2.0,2.0,1248,20,0.1442307692307692,0.1658653846153846,1.802884615384616,28.0,0.08,0.0865384615384615,1.37,1.802884615384616,42.9,3.5336538461538463,0.1442307692307692,5.697115384615384,,,,,,,,,,,,,,,,,,,,,,,,
Takuma Asano,Mallorca,es La Liga,FW,MF,attack,Squad Forward,2.0,1.0,1054,21,0.1707779886148007,0.230550284629981,2.390891840607211,28.6,0.07,0.0597722960151802,1.88,2.390891840607211,24.0,4.52561669829222,0.1707779886148007,6.4895635673624295,,,,,,,,,,,,,,,,,,,,,,,,
Iago Aspas,Celta Vigo,es La Liga,FW,MF,attack,All-Around Forward,10.0,5.0,1745,30,0.5157593123209169,0.2063037249283667,2.372492836676218,39.1,0.11,0.2372492836676217,3.82,2.5787965616045847,55.6,3.455587392550143,0.2063037249283667,7.375358166189112,,,,,,,,,,,,,,,,,,,,,,,,
Yaser Asprilla,Girona,es La Liga,FW,MF,attack,All-Around Forward,3.0,1.0,1405,27,0.1921708185053381,0.1345195729537366,2.434163701067616,28.9,0.08,0.1793594306049822,3.91,4.612099644128114,45.3,3.0747330960854096,0.5765124555160143,8.96797153024911,,,,,,,,,,,,,,,,,,,,,,,,
André Ayew,Le Havre,fr Ligue 1,FW,,attack,Target Forward,4.0,1.0,1453,27,0.2477632484514796,0.2663454920853406,1.3626978664831384,40.9,0.18,0.0123881624225739,1.24,0.3097040605643496,38.5,2.477632484514797,0.0,2.663454920853407,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Ayew,Leicester City,eng Premier League,FW,MF,attack,Squad Forward,5.0,0.0,1638,30,0.2747252747252747,0.1318681318681318,1.7032967032967032,25.8,0.13,0.0604395604395604,2.25,2.6923076923076925,40.6,3.021978021978022,0.3846153846153846,4.725274725274725,,,,,,,,,,,,,,,,,,,,,,,,
Leon Bailey,Aston Villa,eng Premier League,FW,MF,attack,Squad Forward,1.0,2.0,1139,24,0.0790166812993854,0.1343283582089552,2.212467076382792,21.4,0.04,0.1185250219490781,3.01,4.582967515364355,38.6,5.53116769095698,0.1580333625987708,9.561018437225636,,,,,,,,,,,,,,,,,,,,,,,,
Theo Bair,Auxerre,fr Ligue 1,FW,,attack,Target Forward,2.0,1.0,939,29,0.1916932907348243,0.2875399361022364,2.492012779552716,50.0,0.08,0.1150159744408945,1.63,1.437699680511182,25.0,4.792332268370608,0.0,4.025559105431309,,,,,,,,,,,,,,,,,,,,,,,,
Mitchel Bakker,Lille,fr Ligue 1,FW,DF,attack,All-Around Forward,3.0,2.0,1139,24,0.2370500438981562,0.2370500438981562,1.8173836698858647,43.5,0.13,0.2133450395083407,3.13,3.3977172958735733,52.4,2.5285338015803336,0.8691834942932397,9.482001755926252,,,,,,,,,,,,,,,,,,,,,,,,
Ridle Baku,Wolfsburg,de Bundesliga,FW,MF,attack,Squad Forward,2.0,1.0,1170,15,0.1538461538461538,0.1153846153846153,1.3846153846153846,33.3,0.11,0.1,2.38,1.2307692307692308,45.0,2.6153846153846154,0.4615384615384615,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Barcola,Paris S-G,fr Ligue 1,FW,,attack,Elite Dual-Threat Forward,14.0,10.0,2181,34,0.5777166437414031,0.5529573590096286,3.0536451169188448,51.4,0.19,0.4167812929848692,4.17,5.653370013755158,24.8,8.830811554332875,0.1650618982118294,15.433287482806051,,,,,,,,,,,,,,,,,,,,,,,,
Harvey Barnes,Newcastle Utd,eng Premier League,FW,,attack,All-Around Forward,9.0,4.0,1755,33,0.4615384615384615,0.3692307692307692,3.2307692307692304,31.7,0.14,0.2051282051282051,3.27,4.769230769230769,37.5,6.564102564102564,0.4615384615384615,9.846153846153848,,,,,,,,,,,,,,,,,,,,,,,,
