id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp
10724,Diogo Leite,23,1998,0,0.7947779260575771,0,0.46254740469157696,10,9,4,0,D,Union Berlin,0,0.7947779260575771,4.022552821785212,3.7514554671943188,Bundesliga
10730,Muhammed Damar,15,243,0,1.7655513063073158,0,1.0132234552875161,12,12,0,0,F M S,Hoffenheim,0,1.7655513063073158,3.105889745056629,0.7359195481985807,Bundesliga
10771,Ben Seghir,10,229,0,0.09455513767898083,0,1.2067486643791199,5,5,2,0,M S,Bayer Leverkusen,0,0.09455513767898083,1.474426168948412,0.27676355838775635,Bundesliga
10774,Adam Hlozek,5,30,0,1.1858347058296204,0,0,3,0,0,0,S,Hoffenheim,0,1.1858347058296204,1.2055274061858654,0.01969270035624504,Bundesliga
10832,Loïs Openda,2,54,0,0.15504523739218712,0,0.051909636706113815,3,1,0,0,F S,RasenBallsport Leipzig,0,0.15504523739218712,0.5808013305068016,0.5808013305068016,Bundesliga
10862,Tim Oermann,2,12,0,0,0,0.060562897473573685,0,1,0,0,S,Bayer Leverkusen,0,0,0,0,Bundesliga
10872,Vinicius Souza,24,1794,0,0.7309565888717771,0,0.7795633533969522,9,8,5,0,M S,Wolfsburg,0,0.7309565888717771,5.024353690445423,4.415433967486024,Bundesliga
11031,Kilian Fischer,11,801,0,0.08712375164031982,0,0.4677412435412407,2,3,0,0,D S,Wolfsburg,0,0.08712375164031982,1.9711496345698833,1.804927940480411,Bundesliga
11062,Badredine Bouanani,14,451,0,1.0744991190731525,0,0.5685664489865303,16,5,1,0,F M S,VfB Stuttgart,0,1.0744991190731525,4.118053063750267,2.8789315968751907,Bundesliga
11073,Fabio Chiarodia,15,669,0,0.9675312228500843,0,0.013700447976589203,4,1,1,0,D S,Borussia M.Gladbach,0,0.9675312228500843,1.9361455738544464,1.8917616251856089,Bundesliga
11074,Denis Huseinbasic,15,726,0,0.2053355174139142,0,0.2871539294719696,6,4,1,0,M S,FC Cologne,0,0.2053355174139142,1.7169383829459548,1.3208936033770442,Bundesliga
11143,Nelson Weiper,24,486,0,2.7776461020112038,0,0.3957122415304184,13,7,0,0,F S,Mainz 05,0,2.7776461020112038,1.864802185446024,0.2630641795694828,Bundesliga
11157,Sael Kumbedi,24,1825,0,0.46463706623762846,5,3.120423424988985,5,18,2,0,D M S,Wolfsburg,0,0.46463706623762846,6.11135661881417,4.07589796371758,Bundesliga
11236,Aljoscha Kemlein,30,1984,0,1.4002653919160366,2,1.5705977864563465,17,14,4,0,M S,Union Berlin,0,1.4002653919160366,6.956056768074632,5.00193196348846,Bundesliga
11309,Andreas Hanche-Olsen,13,843,0,0.23574959114193916,1,0.709290836006403,6,3,3,0,D S,Mainz 05,0,0.23574959114193916,2.0370114482939243,1.2583506405353546,Bundesliga
11311,Aurélio Buta,4,131,0,0.029344476759433746,0,0.07674846798181534,1,1,1,0,D S,Eintracht Frankfurt,0,0.029344476759433746,0.22252386063337326,0.14577539265155792,Bundesliga
11331,Merlin Röhl,2,52,0,0,0,0,0,0,0,0,S,Freiburg,0,0,0.5478483885526657,0.5478483885526657,Bundesliga
11411,Damion Downs,12,534,0,0.4918728657066822,0,0.7069971961900592,7,7,0,0,F S,Hamburger SV,0,0.4918728657066822,1.3340397626161575,0.13516972213983536,Bundesliga
11699,Ameen Al Dakhil,8,368,0,0.06256280839443207,0,0.08149907365441322,1,2,1,0,D S,VfB Stuttgart,0,0.06256280839443207,0.7323282063007355,0.717394694685936,Bundesliga
11835,Senne Lynen,31,2766,0,1.0010085487738252,0,1.2373423893004656,25,14,4,0,D M,Werder Bremen,0,1.0010085487738252,9.094095415435731,7.418055593036115,Bundesliga
11850,Cédric Zesiger,27,1798,0,1.7500400636345148,0,0.5558719579130411,12,9,5,0,D S,Augsburg,0,1.7500400636345148,4.428809206932783,3.970293586142361,Bundesliga
11851,Václav Cerny,2,40,0,0.07103131711483002,0,0,1,0,0,0,S,Wolfsburg,0,0.07103131711483002,0.09345263987779617,0.022421324625611305,Bundesliga
11859,Omar Traoré,26,1506,0,0.5020455876365304,2,1.4571367260068655,10,13,2,0,D S,FC Heidenheim,0,0.5020455876365304,3.8555765924975276,3.2935838401317596,Bundesliga
11864,Benedikt Gimber,21,1467,0,0.4965052902698517,0,0.21245378255844116,4,1,6,0,D S,FC Heidenheim,0,0.4965052902698517,2.2927268696948886,2.2330755470320582,Bundesliga
11867,Victor Boniface,11,309,0,0.908873425796628,2,1.0533378049731255,16,7,1,0,F S,Werder Bremen,0,0.908873425796628,2.354151902720332,0.713976114988327,Bundesliga
11871,Nicolas Seiwald,33,2730,0,1.818481955677271,2,1.8090799655765295,20,15,2,0,D M S,RasenBallsport Leipzig,0,1.818481955677271,16.26779694482684,14.033266069367528,Bundesliga
11892,Leart Paqarada,1,6,0,0,0,0,0,0,0,0,D,FC Heidenheim,0,0,0,0,Bundesliga
11975,Leonidas Stergiou,6,194,0,0.0463435985147953,0,0,1,0,0,0,D S,"FC Heidenheim,VfB Stuttgart",0,0.0463435985147953,0.49333732575178146,0.44699373096227646,Bundesliga
11991,Lukas Ullrich,23,1301,0,0.7565966881811619,0,0.9062265641987324,10,14,2,0,D M S,Borussia M.Gladbach,0,0.7565966881811619,5.585675872862339,4.3064204677939415,Bundesliga
12013,Skelly Alvero,2,23,0,0,0,0,0,0,0,0,S,Werder Bremen,0,0,0.07283493131399155,0.07283493131399155,Bundesliga
12023,Thomas Keller,4,193,0,0.05427293013781309,0,0,2,0,1,0,D S,FC Heidenheim,0,0.05427293013781309,0.12361487094312906,0.11296646483242512,Bundesliga
12029,Daniel Batz,21,1890,0,0,0,0,0,0,2,0,GK,Mainz 05,0,0,3.298780217766762,3.298780217766762,Bundesliga
12070,Jordy Makengo,20,1160,0,0,1,0.7270807102322578,0,5,1,0,D S,Freiburg,0,0,3.0129974987357855,2.975373087450862,Bundesliga
12075,Kauã Santos,13,1084,0,0,0,0,0,0,0,0,GK,Eintracht Frankfurt,0,0,2.191868357360363,2.191868357360363,Bundesliga
12250,Elias Baum,5,64,0,0,0,0.02290719375014305,0,1,0,0,S,Eintracht Frankfurt,0,0,0.193947222083807,0.17104003205895424,Bundesliga
12314,Yannick Eduardo,1,1,0,0,0,0,0,0,0,0,S,Hoffenheim,0,0,0,0,Bundesliga
12360,Julián Malatini,11,508,0,0.02844528667628765,0,0.1550656594336033,2,2,3,0,D S,Werder Bremen,0,0.02844528667628765,1.295384829863906,1.235657211393118,Bundesliga
12431,Isak Hansen-Aaröen,1,1,0,0,0,0,0,0,0,0,S,Werder Bremen,0,0,0,0,Bundesliga
12494,Frank Feller,3,270,0,0,0,0,0,0,0,0,GK,FC Heidenheim,0,0,0.5666816979646683,0.5666816979646683,Bundesliga
12626,Max Rosenfelder,12,476,0,0.017270773649215698,0,0,1,0,0,0,D S,Freiburg,0,0.017270773649215698,0.7206106707453728,0.7206106707453728,Bundesliga
12761,Yukinari Sugawara,31,2444,0,1.6741932658478618,6,2.4432157278060913,30,20,2,1,D S,Werder Bremen,0,1.6741932658478618,8.13111265283078,5.448099664412439,Bundesliga
12775,Kosta Nedeljkovic,5,251,0,0,0,0,0,0,0,0,D S,RasenBallsport Leipzig,0,0,0.3027626611292362,0.3027626611292362,Bundesliga
12919,Nikolas Veratschnig,21,614,0,0.14785984437912703,1,1.0244743488729,4,4,3,0,D M S,Mainz 05,0,0.14785984437912703,1.3057616231963038,0.501030370593071,Bundesliga
12925,Mio Backhaus,32,2880,0,0,0,0,0,0,1,0,GK,Werder Bremen,0,0,3.336742208339274,3.336742208339274,Bundesliga
12926,Bruno Ogbus,18,1180,0,0.7863243324682117,0,0.02794763259589672,5,1,1,0,D S,Freiburg,0,0.7863243324682117,3.66468408331275,3.310525771230459,Bundesliga
12927,Ramon Hendriks,31,2011,0,0.2131752036511898,3,0.5864755865186453,5,6,3,0,D S,VfB Stuttgart,0,0.2131752036511898,9.381356485188007,9.077877201139927,Bundesliga
12937,Nicolai Remberg,32,2880,0,1.0534912925213575,2,2.1542654521763325,17,13,11,0,D M,Hamburger SV,0,1.0534912925213575,9.058403618633747,7.185781825333834,Bundesliga
